CHEMBL425	P35354	PTGS2
CHEMBL425	P23219	PTGS1
CHEMBL3301607	P52333	JAK3
CHEMBL3301607	P23458	JAK1
CHEMBL3301607	O60674	JAK2
CHEMBL3301607	P29597	TYK2
CHEMBL3358920	O95977	S1PR4
CHEMBL3358920	P21453	S1PR1
CHEMBL3358920	Q9H228	S1PR5
CHEMBL3622821	P52333	JAK3
CHEMBL3622821	P23458	JAK1
CHEMBL3622821	O60674	JAK2
CHEMBL3622821	P29597	TYK2
CHEMBL3707247	P21453	S1PR1
CHEMBL3833372	P29460	IL12B
CHEMBL3833372	Q9NPF7	IL23A
CHEMBL3990014	P29460	IL12B
CHEMBL3990014	Q9NPF7	IL23A
CHEMBL3990029	P29460	IL12B
CHEMBL3990029	Q9NPF7	IL23A
CHEMBL1042	P11473	VDR
CHEMBL4297344	P52298	NCBP2
CHEMBL4297344	Q09161	NCBP1
CHEMBL4297564	Q9NR96	TLR9
